City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,ulladulla,-35.35,150.4667,68.18,89,100,7.65,AU,1675732267
1,hilo,19.7297,-155.09,81.28,77,75,10.36,US,1675732268
2,saint george,37.1041,-113.5841,50.43,39,0,19.57,US,1675732259
3,cape town,-33.9258,18.4232,74.37,86,100,10.36,ZA,1675732269
4,trairi,-3.2778,-39.2689,77.74,82,100,6.31,BR,1675731979
5,punta arenas,-53.15,-70.9167,55.11,87,100,6.91,CL,1675732056
6,kavieng,-2.5744,150.7967,81.84,80,100,8.01,PG,1675732183
7,susanville,40.4163,-120.653,42.64,58,0,4.61,US,1675732271
8,hermanus,-34.4187,19.2345,70.81,94,83,3.51,ZA,1675732271
9,port alfred,-33.5906,26.891,71.19,93,100,1.01,ZA,1675732272
10,rikitea,-23.1203,-134.9692,79.72,71,49,9.19,PF,1675732273
11,ayan,56.45,138.1667,-14.96,71,23,8.21,RU,1675732273
12,barrow,71.2906,-156.7887,-9.38,77,100,8.05,US,1675732274
13,rio grande,-32.035,-52.0986,72.82,75,6,9.8,BR,1675732165
14,shimoda,34.6667,138.95,53.1,51,18,10.89,JP,1675732276
15,karratha,-20.7377,116.8463,90.48,48,6,5.35,AU,1675732004
16,pionerskiy,54.9508,20.2275,35.74,76,32,12.03,RU,1675732277
17,mount gambier,-37.8333,140.7667,69.48,50,6,8.46,AU,1675731917
18,thompson,55.7435,-97.8558,6.01,91,100,10.45,CA,1675732031
19,busselton,-33.65,115.3333,73.06,60,64,11.61,AU,1675732278
20,lompoc,34.6391,-120.4579,61.02,52,0,7.0,US,1675732138
21,vardo,70.3705,31.1107,35.58,87,75,29.93,NO,1675732279
22,shawnee,39.05,-95.7669,56.88,53,0,20.71,US,1675732280
23,simga,21.6333,81.7,59.45,32,0,0.96,IN,1675732280
24,techiman,7.5862,-1.9414,76.75,71,100,6.35,GH,1675732281
25,pisco,-13.7,-76.2167,75.25,88,0,13.8,PE,1675732281
26,luderitz,-26.6481,15.1594,64.35,91,24,14.16,NA,1675732282
27,ushuaia,-54.8,-68.3,46.92,99,100,2.17,AR,1675732283
28,half moon bay,37.4636,-122.4286,59.02,58,0,13.8,US,1675732283
29,provideniya,64.3833,-173.3,1.51,60,100,15.66,RU,1675732284
30,la ronge,55.1001,-105.2842,3.09,97,98,3.51,CA,1675732285
31,greeneville,36.1632,-82.831,47.32,53,0,0.0,US,1675732276
32,chernyshevskiy,63.0128,112.4714,-36.85,100,90,1.9,RU,1675732286
33,chara,56.9064,118.2631,-15.32,85,85,0.92,RU,1675732286
34,severo-kurilsk,50.6789,156.125,24.03,76,99,22.57,RU,1675732270
35,salinas,36.6777,-121.6555,58.51,67,0,9.22,US,1675732003
36,tomatlan,19.9333,-105.25,71.35,74,6,4.23,MX,1675732289
37,hobart,-42.8794,147.3294,70.05,46,40,17.27,AU,1675732286
38,upernavik,72.7868,-56.1549,-8.7,94,100,8.16,GL,1675732291
39,sovetskaya gavan,48.9723,140.2878,5.77,70,17,2.73,RU,1675732291
40,tasiilaq,65.6145,-37.6368,10.56,92,100,6.26,GL,1675732292
41,nanakuli,21.3906,-158.1547,84.15,52,40,13.8,US,1675732190
42,sanchursk,56.9413,47.2499,-11.2,100,100,2.93,RU,1675732294
43,paso de los toros,-32.8167,-56.5167,77.86,34,0,2.3,UY,1675732295
44,lebu,-37.6167,-73.65,57.88,84,0,18.03,CL,1675732295
45,westport,41.1415,-73.3579,40.82,64,0,9.22,US,1675732283
46,birao,10.2849,22.7882,73.18,13,91,7.72,CF,1675732297
47,portland,45.5234,-122.6762,49.08,87,100,9.22,US,1675732254
48,gezing,47.9178,13.1299,25.36,94,6,3.44,AT,1675732298
49,marawi,7.9986,124.2928,74.82,72,57,2.86,PH,1675732299
50,niagara falls,43.1001,-79.0663,32.04,80,100,0.0,CA,1675732233
51,los llanos de aridane,28.6585,-17.9182,56.95,77,75,8.99,ES,1675732301
52,nikolskoye,59.7035,30.7861,26.49,99,94,2.51,RU,1675732301
53,atuona,-9.8,-139.0333,78.6,78,24,13.87,PF,1675732302
54,puerto ayora,-0.7393,-90.3518,79.56,88,27,11.01,EC,1675732251
55,albany,42.6001,-73.9662,29.64,68,62,6.29,US,1675732303
56,butaritari,3.0707,172.7902,81.16,80,100,20.67,KI,1675732303
57,kamensk-uralskiy,56.4185,61.9329,12.29,96,100,5.88,RU,1675732304
58,chaoyang,41.5703,120.4586,25.9,41,100,3.04,CN,1675732305
59,carballo,43.213,-8.691,45.86,75,0,4.7,ES,1675732305
60,palmer,42.1584,-72.3287,37.24,61,75,16.11,US,1675732166
61,sorland,67.667,12.6934,46.26,87,100,42.64,NO,1675732306
62,yellowknife,62.456,-114.3525,1.92,95,100,10.18,CA,1675732149
63,pevek,69.7008,170.3133,-30.01,100,100,2.59,RU,1675732096
64,saint-pierre,-21.3393,55.4781,76.68,73,75,3.44,RE,1675732308
65,khatanga,71.9667,102.5,-41.42,100,70,2.01,RU,1675732308
66,murakami,38.2333,139.4833,44.98,79,36,2.55,JP,1675732309
67,tiksi,71.6872,128.8694,-27.85,100,100,3.47,RU,1675732310
68,ames,42.0347,-93.6199,47.17,86,75,9.22,US,1675732233
69,kodiak,57.79,-152.4072,36.91,60,20,6.91,US,1675732311
70,castro,-24.7911,-50.0119,67.35,67,92,2.73,BR,1675732114
71,wawa,9.9022,4.4192,81.1,24,100,3.31,NG,1675732312
72,meulaboh,4.1363,96.1285,75.24,87,49,3.62,ID,1675732313
73,verkhnyaya toyma,62.2349,44.9985,-5.96,100,95,3.47,RU,1675732313
74,maneadero,31.7167,-116.5667,57.09,73,0,7.0,MX,1675732089
75,carnarvon,-24.8667,113.6333,79.7,56,0,18.97,AU,1675732314
76,faro,37.0194,-7.9322,52.97,81,0,5.75,PT,1675732315
77,east london,-33.0153,27.9116,73.71,83,100,6.87,ZA,1675732315
78,mar del plata,-38.0023,-57.5575,69.1,74,3,10.0,AR,1675732316
79,tilichiki,60.4667,166.1,-19.16,91,39,9.08,RU,1675732317
80,georgetown,5.4112,100.3354,78.73,83,20,1.14,MY,1675732305
81,kloulklubed,7.0419,134.2556,82.11,77,99,18.57,PW,1675732318
82,qaanaaq,77.484,-69.3632,-15.32,94,100,2.57,GL,1675732318
83,ta khmau,11.4833,104.95,78.85,83,20,4.61,KH,1675732319
84,sibolga,1.7427,98.7792,77.47,77,100,2.89,ID,1675732319
85,vaini,-21.2,-175.2,82.56,78,75,2.3,TO,1675732320
86,hambantota,6.1241,81.1185,75.54,100,75,1.14,LK,1675732300
87,muroto,33.2833,134.15,53.55,66,100,17.13,JP,1675732321
88,mahebourg,-20.4081,57.7,76.24,79,70,14.16,MU,1675732322
89,tambacounda,13.7539,-13.7586,76.19,17,0,7.05,SN,1675732322
90,kapaa,22.0752,-159.319,80.58,80,75,14.97,US,1675732323
91,clyde river,70.4692,-68.5914,-27.17,68,100,4.61,CA,1675732324
92,taoudenni,22.6783,-3.9836,65.91,21,100,6.24,ML,1675732286
93,port blair,11.6667,92.75,77.68,82,100,7.81,IN,1675732325
94,mataura,-46.1927,168.8643,56.07,97,100,4.72,NZ,1675732325
95,ribeira grande,38.5167,-28.7,56.77,69,97,15.99,PT,1675732238
96,hithadhoo,-0.6,73.0833,81.41,68,100,9.35,MV,1675732326
97,cotonou,6.3654,2.4183,80.44,87,95,13.15,BJ,1675732327
98,moissala,8.3404,17.7663,73.69,16,7,4.38,TD,1675732327
99,itarema,-2.9248,-39.9167,78.26,81,88,9.22,BR,1675732328
100,kruisfontein,-34.0033,24.7314,69.89,95,7,6.91,ZA,1675732329
101,terra santa,-2.1042,-56.4869,75.52,86,35,1.72,BR,1675732274
102,buala,-8.145,159.5921,83.34,73,100,8.93,SB,1675732330
103,severo-yeniseyskiy,60.3725,93.0408,-10.41,100,99,2.89,RU,1675732331
104,vestmanna,62.1564,-7.1664,40.12,60,75,19.57,FO,1675732331
105,isangel,-19.55,169.2667,87.91,74,75,2.3,VU,1675732177
106,jertih,5.7336,102.4897,75.51,90,80,1.77,MY,1675732332
107,lukovo,41.3494,20.6047,18.05,74,13,6.4,MK,1675732333
108,atikokan,48.7555,-91.6216,29.12,92,100,12.55,CA,1675732333
109,ust-nera,64.5667,143.2,-34.11,100,100,1.28,RU,1675732334
110,cabo san lucas,22.8909,-109.9124,73.71,61,0,5.75,MX,1675732335
111,taborfalva,47.0994,19.4784,21.47,63,2,5.53,HU,1675732335
112,liure,13.5358,-87.0919,77.18,48,0,7.0,HN,1675732336
113,kiama,-34.6833,150.8667,77.0,87,90,2.66,AU,1675732337
114,port hedland,-20.3167,118.5667,89.65,62,84,5.75,AU,1675731961
115,madaoua,14.073,5.96,70.57,14,100,10.11,NE,1675732092
116,fuquay-varina,35.5843,-78.8,47.97,65,0,1.99,US,1675732338
117,saskylakh,71.9167,114.0833,-33.7,100,100,2.17,RU,1675732339
118,husavik,66.0449,-17.3389,29.21,61,11,18.92,IS,1675732340
119,worthington,40.0931,-83.018,33.57,83,75,6.91,US,1675732252
120,bengkulu,-3.8004,102.2655,76.87,80,99,5.32,ID,1675732341
121,matara,5.9485,80.5353,75.06,89,100,4.41,LK,1675732341
122,estelle,29.8458,-90.1067,64.4,77,75,8.01,US,1675732342
123,bluff,-46.6,168.3333,57.85,75,35,30.4,NZ,1675732343
124,fukue,32.6881,128.8419,54.09,89,100,18.95,JP,1675732343
125,college,64.8569,-147.8028,17.58,77,75,3.44,US,1675732344
126,ketchikan,55.3422,-131.6461,42.78,75,40,0.0,US,1675732233
127,sanica,44.6142,16.6411,22.12,87,65,1.9,BA,1675732345
128,collie,-33.3667,116.15,68.58,63,100,7.29,AU,1675732345
129,mahanoro,-19.9,48.8,73.31,93,100,0.87,MG,1675732346
130,oktyabrskoye,43.0645,44.7417,21.34,92,100,6.71,RU,1675732255
131,leningradskiy,69.3833,178.4167,-23.84,97,100,8.72,RU,1675732347
132,bambous virieux,-20.3428,57.7575,76.21,78,81,14.32,MU,1675732348
133,cascais,38.6979,-9.4215,52.93,55,0,14.0,PT,1675732348
134,rognan,67.0953,15.3878,46.89,99,100,6.8,NO,1675732349
135,codrington,-38.2667,141.9667,65.3,64,73,12.5,AU,1675732350
136,lavrentiya,65.5833,-171.0,-13.02,88,72,5.88,RU,1675732179
